,,"Sputtered Mo Back Contact, based on ITO [kg]","Electricity, at grid, US, 2000 [kWh]","Sputtering target, Mo [kg]","Oxygen, liquid, at plant [kg]","Production of Argon (at plant) [kg]","Pure Molybdenum Metal [kg]","Electricity, at grid, US, 2008 [kWh]","Production of Helium [m3]","Hydrogen, liquid, synthesis gas, at plant [kg]","Molybdenum Trioxide (at plant) [kg]","Electricity, bituminous coal, at power plant [kWh]","Natural gas, processed, at plant [m3]","Natural gas, combusted in industrial boiler [m3]","Natural gas, processed, for olefins production, at plant [kg]","Transport, pipeline, natural gas [t*km]","Transport, barge, average fuel mix [t*km]","transport, train, diesel powered [t*km]","transport, combination truck, diesel powered [t*km]","Diesel, combusted in industrial boiler [m3]","Gasoline, combusted in equipment [m3]","Natural gas, at extraction site [m3]","Natural gas, processed, at plant [m3]","Transport, combination truck, average fuel mix [t*km]","Natural gas, extracted [kg]","transport, barge, diesel powered [t*km]","Transport, barge, residual fuel oil powered [t*km]"
,,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Air [kg]","resource / in air",0.0,0.0,0.0,0.0,-1.000856422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carbon dioxide [kg]","air / unspecified",16473.99,0.0,0.0,0.0,7.63836E-4,0.0,0.0,0.0,0.0,10.2666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water [kg]","air / unspecified",0.0,0.0,0.0,0.0,9.32806E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Argon [kg]","air / unspecified",0.0,0.0,0.0,0.0,6.50418E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methane, fossil [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.816981E-5,0.0,0.0,8.31E-6,0.00138,3.6E-5,0.0019,0.00456686387489079,0.0,9.0485E-7,1.2883E-6,6.1E-6,9.2063E-4,0.0,0.00138,0.0,0.0,6.4861E-7,6.4329E-7
"NMVOC, non-methane volatile organic compounds, unspecified origin [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.396731E-5,0.0,0.0,2.49E-5,0.0,0.0,0.0,0.0,0.0,1.8466E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Carbon dioxide, fossil [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2378837,8.0,0.0,0.994,0.0,1.96,0.053,1.38468984764995E-4,0.0,0.018949,0.079876,2.73,2.085,0.0,0.0,0.0,0.017,0.028149,0.028712
"Nitrogen oxides [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.491829E-5,0.0,0.0545333333333333,0.00271,0.0,0.0016,0.0,0.0,0.0,4.9859E-4,5.3228E-4,0.00287,0.033472,0.0,0.0,0.0,0.0,3.5753E-4,3.546E-4
"Sulfur oxides [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9E-5,0.31,0.0,0.0,1.01E-5,0.0,0.0,0.0,4.1881E-6,1.759E-5,5.99E-4,5.0092E-4,0.0,0.0,0.0,0.0,6.1985E-6,9.0312E-5
"Dinitrogen monoxide [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42E-5,0.0,3.6E-5,0.0,0.0,0.0,4.7458E-7,1.9932E-6,1.32E-5,6.0969E-5,0.0,0.0,0.0,0.0,0.0,6.9662E-7
"Diesel, at refinery [m3]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.482E-9,-2.7224000000000003E-8,-1.0E-6,0.0,0.0,0.0,0.0,0.0,-9.593300000000002E-9,0.0
"Particulates, > 2.5 um, and < 10um [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17E-5,0.0,1.21E-4,0.0,0.0,0.0,1.2372E-5,9.1907E-6,1.2E-4,2.6521E-4,0.0,0.0,0.0,0.0,8.8651E-6,8.7924E-6
"Carbon monoxide, fossil [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.547549E-4,0.0,0.0,1.1E-4,0.0,0.00135,0.0,0.0,0.0,4.912E-5,1.2696E-4,6.0E-4,0.13535,0.0,0.0,0.0,0.0,3.5254E-5,3.4965E-5
"Lead [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25333333333333E-6,9.28E-8,0.0,8.01E-9,0.0,0.0,0.0,0.0,0.0,1.5E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74E-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66E-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Zinc [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oils, unspecified [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09333333333333E-4,8.88E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33E-7,0.0,6.09E-5,0.0,0.0,4.5E-6,0.0,0.0
"Diesel, combusted in industrial boiler [m3]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arsenic [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.06E-8,0.0,3.2E-9,0.0,0.0,0.0,0.0,0.0,6.65E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mercury [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09333333333333E-7,1.83E-8,0.0,4.16E-9,0.0,0.0,0.0,0.0,0.0,4.99E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cadmium [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13E-8,0.0,1.76E-8,0.0,0.0,0.0,0.0,0.0,4.99E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Copper [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chromium [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.74E-8,0.0,2.24E-8,0.0,0.0,0.0,0.0,0.0,4.99E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beryllium [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64E-9,0.0,1.92E-10,0.0,0.0,0.0,0.0,0.0,4.99E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ethene, tetrachloro- [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.14E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Radioactive species, unspecified [kBq]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.00342,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Manganese [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08E-7,0.0,6.09E-9,0.0,0.0,0.0,0.0,0.0,9.97E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Methane, dichloro-, HCC-30 [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chloride [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.11E-9,0.0,0.114,0.0,0.0,0.0063,0.0,0.0
"Iron [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56E-8,0.0,1.84E-4,0.0,0.0,4.29E-5,0.0,0.0
"Hydrogen chloride [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.001113333333333,2.65E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.38E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Transport, pipeline, unspecified [t*km]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.19,0.0,0.0,0.0,0.0,0.0,-0.0413,-0.041307,0.0,0.0,0.0,0.0,0.0,0.0
"VOC, volatile organic compounds [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66E-4,8.84E-5,7.7E-4,0.0,0.0,0.0,2.6292E-5,2.41E-5,0.0028351,0.0,5.66E-4,0.0,0.0,1.3237E-5,1.3128E-5
"Copper, ion [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56E-8,0.0,4.47E-7,0.0,0.0,0.0,0.0,0.0
"Nickel [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19E-8,0.0,3.36E-8,0.0,0.0,0.0,0.0,0.0,4.99E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Phenols, unspecified [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Suspended solids, unspecified [kg]","water / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00456,1.78E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07E-6,0.0,0.00201,0.0,0.0,0.00256,0.0,0.0
"Selenium [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87E-7,0.0,3.84E-10,0.0,0.0,0.0,0.0,0.0,2.49E-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Benzene [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87E-7,0.0,3.36E-8,9.6E-5,0.0,0.0,0.0,0.0,0.0,1.3975E-5,0.0,0.0,0.0,0.0,0.0,0.0
"Naphthalene [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87E-9,0.0,9.77E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Formaldehyde [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3E-8,0.0,1.2E-6,0.0,0.0,0.0,0.0,0.0,0.0,1.7674E-5,0.0,0.0,0.0,0.0,0.0,0.0
"Cobalt [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21E-8,0.0,1.35E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hydrogen [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.063024947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"waste water - untreated [kg]","End-of-life treatment / Waste water treatment",0.0,0.0,0.0,0.0,0.0,0.563200434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Residual fuel oil, at refinery [m3]","",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8155E-9
"Electricity, bituminous coal, at power plant [kWh]","",0.0,-1.9620000000000002,0.0,0.0,0.0,0.0,-1.6649751068293641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, nuclear, at power plant [kWh]","",0.0,-0.7776,0.0,0.0,0.0,0.0,-0.7045586711934948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, at wind power plant, unspecified [kWh]","",0.0,-0.00576,0.0,0.0,0.0,0.0,-0.04838271410354544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, liquid, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.015219604476086892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, hydropower, at power plant, unspecified [kWh]","",0.0,-0.28008,0.0,0.0,0.0,0.0,-0.2172060547416702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, solid, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-7.680708335029032E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, other fuels, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.0035947650496524373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, other gases, unspecified,  at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.010230829346202085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, solid, biogenic MSW, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.007075926316384705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, Natural Gas, at power plant [kWh]","",0.0,-0.6228,0.0,0.0,0.0,0.0,-0.7716511147081897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, gas, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-5.488556759333677E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, petroleum coke, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.012519006583352327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, gas, landfill, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.006254042337885672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, solid, agriculture by-products, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-6.79177269173844E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, residual fuel oil, at power plant [kWh]","",0.0,-0.1116,0.0,0.0,0.0,0.0,-0.020440034230226868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, tire derived fuel, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.0010636470288676045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, geothermal, unspecified [kWh]","",0.0,-0.014436,0.0,0.0,0.0,0.0,-0.013066225943698656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, biomass, liquid, sludge, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-1.6152557516763732E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, MSW, non-biogenic, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.005559673749794388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, lignite coal, at power plant [kWh]","",0.0,-0.10332,0.0,0.0,0.0,0.0,-0.07044891859707625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, diesel, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-0.006654809433571738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, solar, unspecified, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-7.553387604227724E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Electricity, biomass, at power plant [kWh]","",0.0,-0.05688000000000001,0.0,0.0,0.0,0.0,-0.01738756632723671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dummy_Electricity, petroleum, waste oil, at power plant [kWh]","",0.0,0.0,0.0,0.0,0.0,0.0,-7.983208894999608E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Heat, waste [kWh]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2981438899274038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Particulates, < 2.5 um [kg]","air / unspecified",0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.491829E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
